Size_KB,Pattern,Stride_B,Run,Accesses,MeanLatency_ns,GBps
1048576,random,1024,11,4194304,5.28374,2.82019
1048576,random,1024,12,4194304,5.27669,2.82396
1048576,random,1024,13,4194304,5.2789,2.82278
1048576,random,1024,14,4194304,5.28865,2.81757
1048576,random,1024,15,4194304,5.32092,2.80049
1048576,random,1024,16,4194304,5.27773,2.8234
1048576,random,1024,17,4194304,5.27881,2.82283
1048576,random,1024,18,4194304,5.29905,2.81204
1048576,random,1024,19,4194304,5.2808,2.82176
1048576,random,1024,20,4194304,5.28079,2.82177
