Size_KB,Pattern,Stride_B,Run,Accesses,MeanLatency_ns,GBps
256,sequential,64,8,16384,0.968933,15.3789
256,sequential,64,9,16384,0.971476,15.3387
256,sequential,64,10,16384,0.971476,15.3387
256,sequential,64,11,16384,0.974019,15.2986
256,sequential,64,12,16384,0.974019,15.2986
256,sequential,64,13,16384,0.971476,15.3387
256,sequential,64,14,16384,0.968933,15.3789
256,sequential,64,15,16384,0.971476,15.3387
256,sequential,64,16,16384,0.971476,15.3387
256,sequential,64,17,16384,0.968933,15.3789
256,sequential,64,18,16384,0.968933,15.3789
256,sequential,64,19,16384,0.968933,15.3789
256,sequential,64,20,16384,0.968933,15.3789
256,random,64,1,16384,0.968933,15.3789
256,random,64,2,16384,0.971476,15.3387
256,random,64,3,16384,0.96639,15.4194
256,random,64,4,16384,0.968933,15.3789
256,random,64,5,16384,0.971476,15.3387
256,random,64,6,16384,0.968933,15.3789
256,random,64,7,16384,0.968933,15.3789
256,random,64,8,16384,0.968933,15.3789
256,random,64,9,16384,0.96639,15.4194
256,random,64,10,16384,0.971476,15.3387
256,random,64,11,16384,0.971476,15.3387
256,random,64,12,16384,0.96639,15.4194
256,random,64,13,16384,0.968933,15.3789
256,random,64,14,16384,0.971476,15.3387
256,random,64,15,16384,0.968933,15.3789
256,random,64,16,16384,0.96639,15.4194
256,random,64,17,16384,0.968933,15.3789
256,random,64,18,16384,0.971476,15.3387
256,random,64,19,16384,0.968933,15.3789
256,random,64,20,16384,0.96639,15.4194
256,sequential,256,1,4096,1.3326,11.182
256,sequential,256,2,4096,1.3326,11.182
256,sequential,256,3,4096,1.32243,11.268
256,sequential,256,4,4096,1.32243,11.268
256,sequential,256,5,4096,1.3326,11.182
256,sequential,256,6,4096,1.32243,11.268
256,sequential,256,7,4096,1.32243,11.268
256,sequential,256,8,4096,1.32243,11.268
256,sequential,256,9,4096,1.3326,11.182
256,sequential,256,10,4096,1.3326,11.182
256,sequential,256,11,4096,1.32243,11.268
256,sequential,256,12,4096,1.32243,11.268
256,sequential,256,13,4096,1.32243,11.268
256,sequential,256,14,4096,1.32243,11.268
256,sequential,256,15,4096,1.3326,11.182
256,sequential,256,16,4096,1.32243,11.268
256,sequential,256,17,4096,1.34277,11.0973
256,sequential,256,18,4096,1.3326,11.182
256,sequential,256,19,4096,1.32243,11.268
256,sequential,256,20,4096,1.3326,11.182
256,random,256,1,4096,1.29191,11.5342
256,random,256,2,4096,1.29191,11.5342
256,random,256,3,4096,1.29191,11.5342
256,random,256,4,4096,1.30208,11.4441
256,random,256,5,4096,1.29191,11.5342
256,random,256,6,4096,1.29191,11.5342
256,random,256,7,4096,1.30208,11.4441
256,random,256,8,4096,1.28174,11.6257
256,random,256,9,4096,1.27157,11.7188
256,random,256,10,4096,1.30208,11.4441
256,random,256,11,4096,1.32243,11.268
256,random,256,12,4096,1.28174,11.6257
256,random,256,13,4096,1.28174,11.6257
256,random,256,14,4096,1.29191,11.5342
256,random,256,15,4096,1.31226,11.3554
256,random,256,16,4096,1.29191,11.5342
256,random,256,17,4096,1.32243,11.268
256,random,256,18,4096,1.32243,11.268
256,random,256,19,4096,1.31226,11.3554
256,random,256,20,4096,1.30208,11.4441
256,sequential,1024,1,1024,2.92969,5.08626
256,sequential,1024,2,1024,2.72624,5.46583
256,sequential,1024,3,1024,2.19727,6.78168
256,sequential,1024,4,1024,2.76693,5.38545
256,sequential,1024,5,1024,2.64486,5.63401
256,sequential,1024,6,1024,2.64486,5.63401
256,sequential,1024,7,1024,2.72624,5.46583
256,sequential,1024,8,1024,2.80762,5.3074
256,sequential,1024,9,1024,2.40072,6.20697
256,sequential,1024,10,1024,2.72624,5.46583
256,sequential,1024,11,1024,2.68555,5.54865
256,sequential,1024,12,1024,2.889,5.1579
256,sequential,1024,13,1024,2.80762,5.3074
256,sequential,1024,14,1024,2.72624,5.46583
256,sequential,1024,15,1024,2.76693,5.38545
256,sequential,1024,16,1024,2.76693,5.38545
256,sequential,1024,17,1024,2.72624,5.46583
256,sequential,1024,18,1024,2.52279,5.90663
256,sequential,1024,19,1024,2.76693,5.38545
256,sequential,1024,20,1024,2.92969,5.08626
256,random,1024,1,1024,2.52279,5.90663
256,random,1024,2,1024,2.27865,6.53948
256,random,1024,3,1024,2.36003,6.31398
256,random,1024,4,1024,2.36003,6.31398
256,random,1024,5,1024,2.31934,6.42475
256,random,1024,6,1024,2.23796,6.65838
256,random,1024,7,1024,2.52279,5.90663
256,random,1024,8,1024,2.40072,6.20697
256,random,1024,9,1024,2.36003,6.31398
256,random,1024,10,1024,2.44141,6.10352
256,random,1024,11,1024,2.23796,6.65838
256,random,1024,12,1024,2.52279,5.90663
256,random,1024,13,1024,2.56348,5.81287
256,random,1024,14,1024,2.36003,6.31398
256,random,1024,15,1024,2.36003,6.31398
256,random,1024,16,1024,2.44141,6.10352
256,random,1024,17,1024,2.40072,6.20697
256,random,1024,18,1024,2.31934,6.42475
256,random,1024,19,1024,2.31934,6.42475
256,random,1024,20,1024,2.40072,6.20697
4096,sequential,64,1,262144,0.975927,15.2687
4096,sequential,64,2,262144,0.974337,15.2936
4096,sequential,64,3,262144,0.971953,15.3312
4096,sequential,64,4,262144,0.974019,15.2986
4096,sequential,64,5,262144,1.02441,14.5462
4096,sequential,64,6,262144,0.981172,15.1871
4096,sequential,64,7,262144,0.981808,15.1773
4096,sequential,64,8,262144,0.974019,15.2986
4096,sequential,64,9,262144,0.973701,15.3036
4096,sequential,64,10,262144,0.973066,15.3136
4096,sequential,64,11,262144,0.992139,15.0192
4096,sequential,64,12,262144,0.973225,15.3111
4096,sequential,64,13,262144,0.972748,15.3186
4096,sequential,64,14,262144,0.972271,15.3261
4096,sequential,64,15,262144,0.973701,15.3036
4096,sequential,64,16,262144,0.973543,15.3061
4096,sequential,64,17,262144,0.97545,15.2762
4096,sequential,64,18,262144,0.975291,15.2787
4096,sequential,64,19,262144,0.98292,15.1601
4096,sequential,64,20,262144,0.978629,15.2266
4096,random,64,1,262144,1.11039,13.4197
4096,random,64,2,262144,1.10308,13.5086
4096,random,64,3,262144,1.10197,13.5223
4096,random,64,4,262144,1.10245,13.5164
4096,random,64,5,262144,1.10261,13.5145
4096,random,64,6,262144,1.10277,13.5125
4096,random,64,7,262144,1.10245,13.5164
4096,random,64,8,262144,1.10292,13.5106
4096,random,64,9,262144,1.10261,13.5145
4096,random,64,10,262144,1.10245,13.5164
4096,random,64,11,262144,1.10277,13.5125
4096,random,64,12,262144,1.10277,13.5125
4096,random,64,13,262144,1.10308,13.5086
4096,random,64,14,262144,1.10277,13.5125
4096,random,64,15,262144,1.11945,13.3111
4096,random,64,16,262144,1.13869,13.0863
4096,random,64,17,262144,1.10292,13.5106
4096,random,64,18,262144,1.10308,13.5086
4096,random,64,19,262144,1.10277,13.5125
4096,random,64,20,262144,1.10435,13.4931
4096,sequential,256,1,65536,1.50363,9.91015
4096,sequential,256,2,65536,1.51062,9.86427
4096,sequential,256,3,65536,1.51189,9.85597
4096,sequential,256,4,65536,1.50998,9.86842
4096,sequential,256,5,65536,1.50935,9.87258
4096,sequential,256,6,65536,1.50935,9.87258
4096,sequential,256,7,65536,1.50871,9.87674
4096,sequential,256,8,65536,1.51825,9.8147
4096,sequential,256,9,65536,1.51062,9.86427
4096,sequential,256,10,65536,1.51825,9.8147
4096,sequential,256,11,65536,1.51062,9.86427
4096,sequential,256,12,65536,1.50998,9.86842
4096,sequential,256,13,65536,1.51189,9.85597
4096,sequential,256,14,65536,1.51126,9.86012
4096,sequential,256,15,65536,1.51189,9.85597
4096,sequential,256,16,65536,1.51062,9.86427
4096,sequential,256,17,65536,1.51189,9.85597
4096,sequential,256,18,65536,1.50935,9.87258
4096,sequential,256,19,65536,1.51062,9.86427
4096,sequential,256,20,65536,1.50871,9.87674
4096,random,256,1,65536,1.47057,10.1329
4096,random,256,2,65536,1.47374,10.1111
4096,random,256,3,65536,1.47247,10.1198
4096,random,256,4,65536,1.46993,10.1373
4096,random,256,5,65536,1.47311,10.1155
4096,random,256,6,65536,1.47184,10.1242
4096,random,256,7,65536,1.47184,10.1242
4096,random,256,8,65536,1.47057,10.1329
4096,random,256,9,65536,1.47247,10.1198
4096,random,256,10,65536,1.47374,10.1111
4096,random,256,11,65536,1.47438,10.1067
4096,random,256,12,65536,1.47311,10.1155
4096,random,256,13,65536,1.48392,10.0418
4096,random,256,14,65536,1.47692,10.0893
4096,random,256,15,65536,1.4782,10.0806
4096,random,256,16,65536,1.47692,10.0893
4096,random,256,17,65536,1.52588,9.76562
4096,random,256,18,65536,1.47374,10.1111
4096,random,256,19,65536,1.47374,10.1111
4096,random,256,20,65536,1.47247,10.1198
4096,sequential,1024,1,16384,3.55021,4.19726
4096,sequential,1024,2,16384,3.49172,4.26757
4096,sequential,1024,3,16384,3.75621,3.96708
4096,sequential,1024,4,16384,3.55021,4.19726
4096,sequential,1024,5,16384,3.52224,4.2306
4096,sequential,1024,6,16384,3.49681,4.26136
4096,sequential,1024,7,16384,3.53241,4.21841
4096,sequential,1024,8,16384,3.55021,4.19726
4096,sequential,1024,9,16384,3.56547,4.1793
4096,sequential,1024,10,16384,3.49172,4.26757
4096,sequential,1024,11,16384,3.52987,4.22145
4096,sequential,1024,12,16384,3.6087,4.12923
4096,sequential,1024,13,16384,3.60107,4.13798
4096,sequential,1024,14,16384,3.50952,4.24592
4096,sequential,1024,15,16384,3.57056,4.17334
4096,sequential,1024,16,16384,3.50952,4.24592
4096,sequential,1024,17,16384,3.48155,4.28004
4096,sequential,1024,18,16384,3.75112,3.97246
