run_id,qd,iops,avg_lat_us
qd_run1,1,330543,14.683244378224012
qd_run1,2,749253,17.153025464164344
qd_run1,4,1215538,18.056525455519584
qd_run1,8,2033004,22.886162910330775
qd_run1,16,3317647,32.045953958988704
qd_run1,32,5289062,47.38930393108804
qd_run1,64,6613195,123.17399558080947
qd_run1,128,6909973,382.9608996310969
qd_run1,256,6732746,810.1769833506994
